frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y
439,,True,137,29,,229,566,137,29
440,,True,137,29,,229,566,137,29
441,,True,137,29,,229,566,137,29
442,,True,137,29,,229,566,137,29
443,,True,137,29,,229,566,137,29
444,,True,137,29,,229,566,137,29
445,,True,137,29,,229,566,137,29
446,,True,137,29,,229,566,137,29
447,,True,137,29,,229,566,137,29
448,,True,137,29,,229,566,137,29
449,,True,137,29,,229,566,137,29
450,,True,137,29,,229,566,137,29
451,,True,137,29,,229,566,137,29
452,,True,137,29,,229,566,137,29
453,,True,137,29,,229,566,137,29
454,,True,137,29,,229,566,137,29
455,,True,137,29,,229,566,137,29
456,,True,137,29,,229,566,137,29
457,,True,137,29,,229,566,137,29
458,,True,137,29,,229,566,137,29
459,,True,137,29,,229,566,137,29
460,,True,137,29,,229,566,137,29
461,,True,137,29,,229,566,137,29
462,,True,137,29,,229,566,137,29
463,,True,137,29,,229,566,137,29
464,,True,137,29,,229,566,137,29
465,,True,137,29,,229,566,137,29
466,,True,137,29,,229,566,137,29
467,,True,137,29,,229,566,137,29
468,,True,137,29,,229,566,137,29
469,,True,137,29,,229,566,137,29
470,,True,137,29,,229,566,137,29
471,,True,137,29,,229,566,137,29
472,,True,137,29,,229,566,137,29
473,,True,137,29,,229,566,137,29
474,,True,137,29,,229,566,137,29
475,,True,137,29,,229,566,137,29
476,,True,137,29,,229,566,137,29
477,,True,137,29,,229,566,137,29
478,,True,137,29,,229,566,137,29
479,,True,137,29,,229,566,137,29
480,,True,137,29,,229,566,137,29
481,,True,137,29,,229,566,137,29
482,,True,137,29,,229,566,137,29
483,,True,137,29,,229,566,137,29
484,,True,137,29,,229,566,137,29
485,,True,137,29,,229,566,137,29
486,,True,137,29,,229,566,137,29
487,,True,137,29,,229,566,137,29
488,,True,137,29,,229,566,137,29
489,,True,137,29,,229,566,137,29
490,,True,137,29,,229,566,137,29
491,,True,137,29,,229,566,137,29
492,,True,137,29,,229,566,137,29
493,,True,137,29,,229,566,137,29
494,,True,137,29,,229,566,137,29
495,,True,137,29,,229,566,137,29
496,,True,137,29,,229,566,137,29
497,,True,137,29,,229,566,137,29
498,,True,137,29,,229,566,137,29
499,,True,137,29,,229,566,137,29
500,,True,137,29,,229,566,137,29
501,,True,137,29,,229,566,137,29
502,,True,137,29,,229,566,137,29
503,,True,137,29,,229,566,137,29
504,,True,137,29,,229,566,137,29
505,,True,137,29,,229,566,137,29
506,,True,137,29,,229,566,137,29
507,,True,137,29,,229,566,137,29
508,,True,137,29,,229,566,137,29
509,,True,137,29,,229,566,137,29
510,,True,137,29,,229,566,137,29
511,,True,137,29,,229,566,137,29
512,,True,137,29,,229,566,137,29
513,,True,137,29,,229,566,137,29
514,,True,137,29,,229,566,137,29
515,,True,137,29,,229,566,137,29
516,,True,137,29,,229,566,137,29
517,,True,137,29,,229,566,137,29
518,,True,137,29,,229,566,137,29
519,,True,137,29,,229,566,137,29
