frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
66,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.727,0.014499999999999957,False,False
67,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.7415,0.014499999999999957,False,False
68,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.756,0.014499999999999957,False,False
69,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.7704999999999997,0.014499999999999957,False,False
70,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.785,0.014500000000000401,False,False
71,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.7995,0.014499999999999957,False,False
72,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.814,0.014499999999999957,False,False
73,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.8285,0.014499999999999957,False,False
74,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.843,0.014499999999999957,False,False
75,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.8575,0.014499999999999957,False,False
76,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.872,0.014499999999999957,False,False
77,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.8865,0.014499999999999957,False,False
78,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.901,0.014499999999999957,False,False
79,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.9154999999999998,0.014499999999999957,False,False
80,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.9299999999999997,0.014499999999999957,False,False
81,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.9444999999999997,0.014499999999999957,False,False
82,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.9589999999999996,0.014499999999999957,False,False
83,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.9734999999999996,0.014499999999999957,False,False
84,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.9879999999999995,0.014499999999999957,False,False
85,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,3.0024999999999995,0.014499999999999957,False,False
86,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,3.0169999999999995,0.014499999999999957,False,False
87,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,3.0315,0.014500000000000401,False,False
88,,True,396,11,,219,555,396,11,4.6,57.08108108108108,1.5068493150684932,26.235664787531487,5.703405388593802,-0.5983366263002432,-0.5983366263002432,bin_137,1.3706666666666667,-1.6608333333333332,True,False
89,,True,400,14,,219,555,400,14,4.6,57.65765765765766,1.917808219178082,1.416090067084323,0.30784566675746156,35.479632081483516,36.07796870778376,bin_137,1.3765833333333335,0.005916666666666792,True,True
90,,True,404,15,,219,555,404,15,4.6,58.234234234234236,2.0547945205479454,1.1852523704591547,0.25766355879546843,13.364861891492117,-22.114770189991397,bin_218,1.0875,-0.2890833333333336,True,False
91,,True,403,14,,219,555,403,14,4.6,58.090090090090094,1.917808219178082,0.39770733487851295,0.0864581162779376,-136.4584887631784,-149.82335065467052,bin_138,1.3574166666666667,0.2699166666666668,False,True
