frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
117,448.0,65.0,0,447.942777934,64.9909917147,558,228,False,64.22118680057348,8.55144627825,0.27268072082096273,-1.6811425429256877,154.27360179094916,bin_704,0.33425000000000005,0.0019166666666666776,False,True,True
118,449.0,65.0,0,448.97607297800005,64.9958298519,558,228,False,64.36932945921147,8.552082875249999,0.29628805284097165,0.24620927678039256,1.9273518197060802,bin_704,0.3361666666666667,0.0019166666666666776,False,True,False
119,451.0,65.0,0,450.973121306,64.9984068337,558,228,False,64.6556446316846,8.552421951802632,0.5726307465067632,0.06785405798582378,-0.17835521879456878,bin_704,0.33808333333333335,0.0019166666666666221,False,True,False
120,454.0,66.0,0,453.971286059,65.9815680139,558,228,False,65.08548904071684,8.681785264986843,0.897777439623593,16.749368094589112,16.68151403660329,bin_705,0.33999999999999997,0.0019166666666666221,False,True,False
121,462.0,65.0,0,461.899221545,65.0279491231,558,228,False,66.2221106157706,8.556309095144737,2.2870530156303324,-6.299600574920127,-23.04896866950924,bin_706,0.3409166666666667,0.0009166666666667322,True,True,False
122,466.0,62.0,0,466.02947302300004,62.0477559889,558,228,False,66.81426136530466,8.164178419592105,1.4204351120457541,-33.51309422207406,-27.213493647153932,bin_706,0.3418333333333334,0.0009166666666666767,True,True,False
123,467.0,59.0,0,467.06770198199996,59.0195862471,558,228,False,66.96311139526881,7.765735032513158,0.8506784683469363,-69.51537423814786,-36.0022800160738,bin_626,0.332,-0.00983333333333336,False,True,True
124,468.0,58.0,0,468.027947761,57.971712949700006,558,228,False,67.10078104100359,7.6278569670657905,0.3896834217066304,-45.043337567822014,24.472036670325842,bin_627,0.30466666666666664,-0.027333333333333376,False,True,False
125,469.0,53.0,0,469.01054644699997,53.059099266800004,558,228,False,67.24165540458782,6.981460429842106,1.3231387979347173,-77.70532024236905,-32.66198267454704,bin_547,0.31625,0.011583333333333334,True,True,True
126,468.0,53.0,0,468.03960969400003,52.936178303199995,558,228,False,67.10245300272402,6.9652866188421045,0.28027772545754803,-173.3725678166027,-95.66724757423364,bin_547,0.3175,0.0012500000000000289,False,True,True
127,467.0,50.0,0,467.016470556,50.0256133504,558,228,False,66.95576638795698,6.582317546105263,0.8202006428301032,-110.95807408201888,62.414493734583814,bin_546,0.3110833333333333,-0.006416666666666682,False,True,True
128,462.0,44.0,0,462.077565848,44.065419545299996,558,228,False,66.24767969146953,5.798081519118421,2.1132088545779144,-132.07887960733996,-21.120805525321074,bin_466,0.342,0.030916666666666703,True,True,False
129,458.0,43.0,0,458.01449180000003,42.9378750402,558,228,False,65.66516011469534,5.6497204000263155,1.2022313903462045,-165.71119979106064,-33.63232018372068,bin_465,0.43925000000000003,0.09725,True,True,True
130,457.0,43.0,0,456.95120235,42.954868906899996,558,228,False,65.51271718279571,5.651956435118421,0.30491866022982483,179.15964495581795,-15.12915525312144,bin_465,0.43916666666666665,-8.333333333337967e-05,False,True,False
131,456.0,43.0,0,455.979218671,42.9821272779,558,228,False,65.37336468401435,5.655543062881579,0.27879729421442645,178.52565776100198,-0.6339871948159725,bin_465,0.4390833333333333,-8.333333333332416e-05,False,True,False
132,457.0,43.0,0,456.956457703,42.9932882345,558,228,False,65.51347063842293,5.657011609802631,0.2802273012452508,0.6005345006642179,-177.92512326033776,bin_465,0.439,-8.333333333332416e-05,False,True,True
133,459.0,43.0,0,458.96422173199994,42.9974960136,558,228,False,65.80132211211468,5.657565264947369,0.5757040122859274,0.11020288892006981,-0.4903316117441481,bin_465,0.4389166666666667,-8.333333333332416e-05,False,True,False
134,459.0,42.0,0,459.02140200800005,42.016902938200005,558,228,False,65.80952000114696,5.528539860289474,0.25857115408892234,-86.36448409420159,-86.47468698312166,bin_465,0.43883333333333335,-8.333333333332416e-05,False,True,True
